node_id,nominal_mask_rate,true_label,baseline_predicted_label,baseline_confidence,active_entries_before,num_perturbations,mean_realized_mask_rate,mean_num_entries_masked,num_prediction_same,num_prediction_changed,prediction_stability,prediction_change_rate,num_explanations_available,num_explanations_unavailable,explanation_availability,mean_jaccard,std_jaccard,median_jaccard,min_jaccard,max_jaccard,num_pred_same_with_explanation,mean_jaccard_pred_same,std_jaccard_pred_same,median_jaccard_pred_same,num_pred_changed_with_explanation,mean_jaccard_pred_changed,mean_confidence_delta,mean_absolute_confidence_delta,median_confidence_delta,num_fewer_than_top_k_nonzero,num_optimizer_nonconvergence
1720,0.01,2,2,0.8018003106117249,3208,10,0.0099750623441396,32.0,10,0,1.0,0.0,10,0,1.0,0.9272727272727274,0.09389050536260403,1.0,0.8181818181818182,1.0,10,0.9272727272727274,0.09389050536260403,1.0,0,,-0.00630865097045893,0.00630865097045893,-0.0020429491996764504,0,0
1720,0.05,2,2,0.8018003106117249,3208,10,0.0498753117206982,160.0,10,0,1.0,0.0,10,0,1.0,0.7599067599067599,0.10010954721620148,0.8181818181818182,0.5384615384615384,0.8181818181818182,10,0.7599067599067599,0.10010954721620148,0.8181818181818182,0,,-0.00850331783294671,0.00850331783294671,-0.007236450910568201,0,0
1720,0.1,2,2,0.8018003106117249,3208,10,0.1000623441396508,321.0,10,0,1.0,0.0,10,0,1.0,0.6177156177156177,0.09497225541940964,0.6025641025641025,0.5384615384615384,0.8181818181818182,10,0.6177156177156177,0.09497225541940964,0.6025641025641025,0,,-0.022030919790267892,0.022030919790267892,-0.01724612712860105,0,0
1720,0.2,2,2,0.8018003106117249,3208,10,0.2001246882793017,642.0,10,0,1.0,0.0,10,0,1.0,0.5239427239427239,0.12577083577280726,0.5384615384615384,0.3333333333333333,0.8181818181818182,10,0.5239427239427239,0.12577083577280726,0.5384615384615384,0,,-0.059761708974838214,0.059761708974838214,-0.046765834093093844,0,0
1721,0.01,2,2,0.7347998023033142,3365,10,0.0101040118870728,34.0,10,0,1.0,0.0,10,0,1.0,0.9636363636363636,0.0766612766101425,1.0,0.8181818181818182,1.0,10,0.9636363636363636,0.0766612766101425,1.0,0,,-0.006635540723800621,0.00674014687538142,-0.0037722885608672497,0,0
1721,0.05,2,2,0.7347998023033142,3365,10,0.049925705794948,168.0,10,0,1.0,0.0,10,0,1.0,0.9090909090909092,0.09582659576267813,0.9090909090909092,0.8181818181818182,1.0,10,0.9090909090909092,0.09582659576267813,0.9090909090909092,0,,-0.01612358093261713,0.01612358093261713,-0.0149489045143127,0,0
1721,0.1,2,2,0.7347998023033142,3365,10,0.10014858841010402,337.0,10,0,1.0,0.0,10,0,1.0,0.7575757575757576,0.07824208780217008,0.8181818181818182,0.6666666666666666,0.8181818181818182,10,0.7575757575757576,0.07824208780217008,0.8181818181818182,0,,-0.04322975277900691,0.04322975277900691,-0.03715777397155755,0,0
1721,0.2,2,2,0.7347998023033142,3365,10,0.2,673.0,10,0,1.0,0.0,10,0,1.0,0.6733932733932735,0.20197968901636806,0.6025641025641025,0.4285714285714285,1.0,10,0.6733932733932735,0.20197968901636806,0.6025641025641025,0,,-0.07446119785308833,0.07446119785308833,-0.07340836524963375,0,0
1722,0.01,2,2,0.4012892842292785,2989,10,0.0100368016058882,30.0,10,0,1.0,0.0,10,0,1.0,0.9090909090909092,0.09582659576267813,0.9090909090909092,0.8181818181818182,1.0,10,0.9090909090909092,0.09582659576267813,0.9090909090909092,0,,-0.0036533176898956203,0.0049730002880096005,-0.0003123581409454,0,0
1722,0.05,2,2,0.4012892842292785,2989,10,0.04984944797591161,149.0,10,0,1.0,0.0,10,0,1.0,0.7016317016317016,0.11179094459936413,0.6666666666666666,0.5384615384615384,0.8181818181818182,10,0.7016317016317016,0.11179094459936413,0.6666666666666666,0,,-0.0121813505887985,0.015592911839485121,-0.0099461376667022,0,0
1722,0.1,2,2,0.4012892842292785,2989,10,0.10003345600535289,299.0,10,0,1.0,0.0,10,0,1.0,0.5972027972027971,0.12976983052620897,0.6025641025641025,0.3333333333333333,0.8181818181818182,10,0.5972027972027971,0.12976983052620897,0.6025641025641025,0,,-0.02219817936420437,0.02415329515933985,-0.0225305706262588,0,0
